EID,Sex,Age,EHQ_Total,Commercial_Use,Full_Pheno
NDARKC791WL9,0,9.441706,20.01,Yes,No
NDARMX259HUH,0,8.239333,53.36,Yes,No
NDARTH459BLU,0,6.832534,24.41,Yes,No
NDARCG464RH2,1,15.226671,40.02,Yes,No
NDARKP895CJG,0,14.555441,84.51,Yes,No
NDARNB442LR7,0,7.891512,86.71,Yes,No
NDAREH333KZD,0,12.551562,66.7,Yes,No
NDARLA869AUX,0,8.195984,100.05,Yes,No
NDARAA396TWZ,0,7.05989,55.63,Yes,No
NDARNF439YDW,0,10.659479,46.69,Yes,No
NDARWY566RM,0,9.896075,93.38,Yes,No
NDARNM364WVH,0,6.259753,46.69,Yes,No
NDARXN821BKB,1,6.013803,100.05,Yes,No
NDARBT094VX0,0,5.734086,23.34,Yes,No
NDARGN460JU2,1,11.664727,40.02,Yes,No
NDARLF931KJC,1,6.712069,-6.67,Yes,No
NDARYU572UL0,0,12.830595,100.05,Yes,No
NDARYD265AZN,1,9.411704,71.17,Yes,No
NDARVM586CBM,0,7.790212,63.37,Yes,No
NDARXN246RND,0,6.484371,100.05,Yes,No
NDARKR658HW2,0,6.487679,33.35,Yes,No
NDARZA147PC7,0,6.172256,86.71,Yes,No
NDARLY771XJ0,0,9.408281,53.36,Yes,No
NDARNN989FZ4,1,9.9449,53.36,Yes,No
NDARCV570NVN,1,5.348619,91.18,Yes,No
NDARKX116PGU,0,14.966233,53.36,Yes,No
NDARGJ954FP7,0,10.657312,84.51,Yes,No
NDARWV313RH7,0,13.835843,13.34,Yes,No
NDAREB629FVB,0,6.91467,100.05,Yes,No
NDARFJ330ZUE,0,5.991786,33.35,Yes,No
NDARZD816TLM,0,7.711384,46.69,Yes,No
NDARWE001EAY,1,7.418434,100.05,Yes,No
NDARJL016LRL,1,7.19644,13.34,Yes,No
NDARBE081CU3,0,8.130276,-46.69,Yes,No
NDARRK788DV7,1,10.703285,60.03,Yes,No
NDARRE265KWF,0,14.657312,40.02,Yes,No
NDARUZ056AC3,0,9.657426,86.71,Yes,No
NDARVU479VJ6,0,7.579397,100.05,Yes,No
NDARPJ713LGL,0,7.973762,100.05,Yes,No
NDARTH261GB5,0,9.543007,100.05,Yes,No
NDARVY035UNP,1,8.891056,33.35,Yes,No
